family,algorithm_display,algorithm_superfamily,algorithm_category,evaluation_mode,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds
InternalBleeding,SAND | Init 3000,Distance-based,Clustering,range,28,0.940756920995039,0.45505966011081106,0.4718748604440838,0.4718748604440838,0.9122838926887971,0.920601909137759,5.9877984035691565
InternalBleeding,SAND | Subseq x2,Distance-based,Clustering,range,28,0.9377650079144607,0.4618015410461888,0.4608987123697993,0.4608987123697993,0.9107705422879355,0.9029445370752806,1.8024779071420198
InternalBleeding,SAND | k = 3,Distance-based,Clustering,range,28,0.9421974074689043,0.4552536052272828,0.44972169227437186,0.44972169227437186,0.9078194464420375,0.8318137954739327,2.78736767142982
InternalBleeding,SAND | Overlap 64,Distance-based,Clustering,range,28,0.9426296348266696,0.4530596867328923,0.4481027209050184,0.4481027209050184,0.905362889056845,0.8851760148033211,13.655890335716581
InternalBleeding,SAND | Baseline,Distance-based,Clustering,range,28,0.9448304686324124,0.4504097103249457,0.44758239196291066,0.44758239196291066,0.8955970920716958,0.831666038689219,4.76226730000157
InternalBleeding,SAND | Alpha 0.7,Distance-based,Clustering,range,28,0.9359303024398425,0.43585354636907647,0.4329409874918592,0.4329409874918592,0.921029059391364,0.8196038518864686,4.715777039283629
InternalBleeding,Matrix Profile | Subseq x1,Distance-based,Discord,range,28,0.9505628112223942,0.45077258608258813,0.4050868424829796,0.4050868424829796,0.8824092897286275,0.9824811763709134,0.06738929643220862
InternalBleeding,SAND | Batch 1000,Distance-based,Clustering,range,28,0.9261013179789762,0.36046811419052915,0.3719093867820524,0.3719093867820524,0.8433812105734784,0.7922321358907753,5.089384253568174
InternalBleeding,Matrix Profile | Baseline,Distance-based,Discord,range,28,0.9178928236975121,0.3502630562309258,0.35988778139737193,0.35988778139737193,0.8916674002799504,0.8627731869278649,0.06957257142806021
InternalBleeding,OCSVM | Gamma 0.1,Density-based,Distribution,range,28,0.8398670950432653,0.30697974674588485,0.2735957950057089,0.2735957950057089,0.7771701303786746,0.880364467522076,0.13467600357086792
InternalBleeding,DAMP | x_lag x8,Distance-based,Discord,range,28,0.8469143543969077,0.3147011824282533,0.2707971825760848,0.2707971825760848,0.9237732546670743,0.5832286362842675,4.504690114287119
InternalBleeding,DAMP | Baseline,Distance-based,Discord,range,28,0.8500449681995964,0.30700226814717413,0.26862478742298995,0.26862478742298995,0.9240666221477317,0.5832176267314474,4.548262257142467
InternalBleeding,Isolation Forest | Max feat 0.6,Density-based,Tree,range,28,0.7596582718976812,0.2882039086662925,0.26857288665890294,0.26857288665890294,0.7625060416629846,0.7003945882796325,1.2458879035714614
InternalBleeding,Isolation Forest | Seed 7,Density-based,Tree,range,28,0.7839626755411829,0.28427405628899977,0.2674685750661971,0.2674685750661971,0.755938118111783,0.7784587041263415,0.4059625928577069
InternalBleeding,Isolation Forest | Trees 400,Density-based,Tree,range,28,0.7689905278689534,0.28928120044063066,0.26657332245419757,0.26657332245419757,0.8408301654821977,0.664234817010765,0.7851235142848704
InternalBleeding,DAMP | Start x2,Distance-based,Discord,range,28,0.8927115013229955,0.29935768663807033,0.26128323201242587,0.26128323201242587,0.9721334530842491,0.5706527965003854,5.035206828569893
InternalBleeding,OCSVM | Train frac 0.20,Density-based,Distribution,range,28,0.723813190414473,0.2789318638702313,0.2590964457864948,0.2590964457864948,0.8321506844598384,0.7179328381281868,0.1346952714292066
InternalBleeding,Local Outlier Factor | Baseline,Distance-based,Proximity,range,28,0.7977254171008311,0.26930057364038457,0.25384844127664924,0.25384844127664924,0.8002988413998144,0.9849629841385277,0.11364881428536522
InternalBleeding,Local Outlier Factor | Leaf size 60,Distance-based,Proximity,range,28,0.7977254171008311,0.26930057364038457,0.25384844127664924,0.25384844127664924,0.8002988413998144,0.9849629841385277,0.11294883571099483
InternalBleeding,Local Outlier Factor | Search brute,Distance-based,Proximity,range,28,0.7977254171008311,0.26930057364038457,0.25384844127664924,0.25384844127664924,0.8002988413998144,0.9849629841385277,0.11740470000222554
InternalBleeding,Isolation Forest | Baseline,Density-based,Tree,range,28,0.7636254038091747,0.2872620850846506,0.25292246992780215,0.25292246992780215,0.7943143850080686,0.74067444913429,0.4060114964283587
InternalBleeding,Isolation Forest | Max samples auto,Density-based,Tree,range,28,0.7636254038091747,0.2872620850846506,0.25292246992780215,0.25292246992780215,0.7943143850080686,0.74067444913429,0.4034486500012073
InternalBleeding,OCSVM | Baseline,Density-based,Distribution,range,28,0.7484726699568505,0.258572433779533,0.24433751684903585,0.24433751684903585,0.7752749824331607,0.6935012021164116,0.09706931785538987
InternalBleeding,OCSVM | Nu 0.10,Density-based,Distribution,range,28,0.748011614675315,0.2585365009532942,0.24418337779975288,0.24418337779975288,0.7616900692417008,0.7145622887058146,0.12157943214801237
InternalBleeding,Isolation Forest | Bootstrap on,Density-based,Tree,range,28,0.765407444208049,0.2888019810666163,0.24306509926754044,0.24306509926754044,0.796823473977651,0.71411291903241,0.3812303535742103
InternalBleeding,Matrix Profile | Subseq x4,Distance-based,Discord,range,28,0.8797100171052473,0.25911757391943424,0.2348296015305542,0.2348296015305542,0.8494347240124458,0.6259611305158277,0.06906986428345716
InternalBleeding,Local Outlier Factor | Metric manhattan,Distance-based,Proximity,range,28,0.8043129653994727,0.24555497774012908,0.2210686128037877,0.2210686128037877,0.7411291581512401,0.9615668097339063,1.458410946427778
InternalBleeding,Local Outlier Factor | p = 1,Distance-based,Proximity,range,28,0.8043129653994727,0.24555497774012908,0.2210686128037877,0.2210686128037877,0.7411291581512401,0.9615668097339063,1.4746516607130096
InternalBleeding,Local Outlier Factor | Neighbors 10,Distance-based,Proximity,range,28,0.687041357827967,0.1857439707838972,0.17000970299448515,0.17000970299448515,0.7027419399363455,0.9834407634137943,0.11191003214168757
InternalBleeding,HBOS | Bins 20,Density-based,Distribution,range,28,0.6348199359567145,0.10715656106496498,0.14278966122202047,0.14278966122202047,0.8177359015289422,0.34101630960160007,0.45049706785773325
InternalBleeding,HBOS | Baseline,Density-based,Distribution,range,28,0.6308084211514097,0.09890777707131035,0.1304920137924287,0.1304920137924287,0.7677008896946292,0.27293560659629007,0.4558060142860216
InternalBleeding,HBOS | Tol 0.2,Density-based,Distribution,range,28,0.6308084211514097,0.09890777707131035,0.1304920137924287,0.1304920137924287,0.7677008896946292,0.27293560659629007,0.4504899535698184
InternalBleeding,HBOS | Alpha 0.05,Density-based,Distribution,range,28,0.6273120160628177,0.09805072092691144,0.12753684890724046,0.12753684890724046,0.7645748778865359,0.27288002863065086,0.4496595785718195
InternalBleeding,PCA | Baseline,Density-based,Encoding,range,28,0.5848421438253153,0.0917120322189896,0.11700986583660088,0.11700986583660088,0.9841735387662597,0.24445375771005054,0.12672283571217638
InternalBleeding,PCA | Score comps 2,Density-based,Encoding,range,28,0.5848390908894776,0.0917120322189896,0.11700986583660088,0.11700986583660088,0.984154493686556,0.24444423517019873,0.02865938928152895
InternalBleeding,PCA | Whiten on,Density-based,Encoding,range,28,0.5848421438253153,0.0917120322189896,0.11700986583660088,0.11700986583660088,0.9841735387662597,0.24445375771005054,0.12369857500431988
InternalBleeding,PCA | Standardize off,Density-based,Encoding,range,28,0.582172511687533,0.09154398020042633,0.11688612230933922,0.11688612230933922,0.9833736454187061,0.24447085858379905,0.11315693571668813
InternalBleeding,PCA | Weighted off,Density-based,Encoding,range,28,0.5842199135611671,0.09154398020042633,0.11688612230933922,0.11688612230933922,0.9840291971095584,0.24446133604394718,0.12433709643041112
InternalBleeding,PCA | Components 0.95,Density-based,Encoding,range,28,0.5702325027660133,0.08885029372463309,0.11511947818761525,0.11511947818761525,0.9837787862051294,0.2444925758638703,0.030550367858917737
InternalBleeding,OCSVM | Kernel linear,Density-based,Distribution,range,28,0.3400851895319566,0.025175223715765447,0.05714056440445075,0.05714056440445075,0.8167396822587304,0.5020802394276159,0.024867010712374092
ECG,Matrix Profile | Subseq x1,Distance-based,Discord,range,15,0.9980181555600101,0.6481000430235622,0.513669737876485,0.513669737876485,0.916005676678737,0.999990888055583,0.526493946670477
ECG,OCSVM | Gamma 0.1,Density-based,Distribution,range,15,0.7769209263507658,0.5723465738417347,0.41566407957022344,0.41566407957022344,0.872217100493321,0.9963705912666273,0.6509503933348848
ECG,Matrix Profile | Baseline,Distance-based,Discord,range,15,0.9956194528232793,0.47099785417321843,0.39626790543658125,0.39626790543658125,0.8914211054575182,0.999934796333454,0.524382079996091
ECG,SAND | Baseline,Distance-based,Clustering,range,15,0.9822193455169687,0.34593491239935065,0.30167603768422313,0.30167603768422313,0.6224093278406183,0.9965939885247512,23.040309573327736
ECG,SAND | Overlap 64,Distance-based,Clustering,range,15,0.9802812121296258,0.3425081389976767,0.30009564649336834,0.30009564649336834,0.61146915706072,0.9966985298638292,44.693727586670626
ECG,SAND | k = 3,Distance-based,Clustering,range,15,0.9817360920007558,0.3241408729084016,0.278324134988214,0.278324134988214,0.6038312716218056,0.9966952445186834,18.383726906667775
ECG,SAND | Alpha 0.7,Distance-based,Clustering,range,15,0.9783690861700429,0.3187662007626678,0.2656921936430391,0.2656921936430391,0.603054445736112,0.929879466414733,23.78561887998949
ECG,SAND | Subseq x2,Distance-based,Clustering,range,15,0.9827599998365029,0.31094292508176186,0.261170416723508,0.261170416723508,0.5873741345951942,0.9504851013261854,20.965435753330045
